Date,Branch,Metric,Value
2022-01-01,13.247038552659918,Box Office Sales,0.0
2022-01-01,13.247038552659918,Box Office Sundries,0.0
2022-01-01,13.247038552659918,Concession Sales,924.0
2022-01-01,13.247038552659918,Concession Standard Cost,0.0
2023-01-01,13.191156806765205,Box Office Sales,0.0
2023-01-01,13.191156806765205,Box Office Sundries,0.0
2023-01-01,13.191156806765205,Concession Sales,10267.0
2023-01-01,13.191156806765205,Concession Standard Cost,0.0
2024-01-01,11.964905439656853,Box Office Sales,0.0
2024-01-01,11.964905439656853,Box Office Sundries,0.0
2024-01-01,11.964905439656853,Concession Sales,15717.0
2024-01-01,11.964905439656853,Concession Standard Cost,0.0
2025-01-01,10.779411429483234,Box Office Sales,0.0
2025-01-01,10.779411429483234,Box Office Sundries,0.0
2025-01-01,10.779411429483234,Concession Sales,8916.0
2025-01-01,10.779411429483234,Concession Standard Cost,0.0
